2025-03-27 01:47:46.978 | DEBUG    | config:67 | Configurazione caricata da config.json
2025-03-27 01:47:46.978 | DEBUG    | config:118 | Inizio calcolo percorso di output per: c:\sources\python-workspace
2025-03-27 01:47:46.978 | DEBUG    | config:127 | Nome della cartella target: python-workspace
2025-03-27 01:47:46.978 | DEBUG    | config:131 | Template di output: .\_artifacts\{target}.xml
2025-03-27 01:47:46.978 | DEBUG    | config:155 | Placeholders: {'target': 'python-workspace', 'timestamp': '20250327_014746'}
2025-03-27 01:47:46.979 | DEBUG    | config:160 | Percorso di output generato: .\_artifacts\python-workspace.xml
2025-03-27 01:47:46.983 | DEBUG    | xml_generator:115 | Elaborazione della cartella: python-workspace
2025-03-27 01:47:46.984 | DEBUG    | xml_generator:129 | Ignorata cartella: .git
2025-03-27 01:47:46.984 | DEBUG    | xml_generator:142 | Ignorato file: .gitignore
2025-03-27 01:47:46.984 | DEBUG    | xml_generator:129 | Ignorata cartella: .vscode
2025-03-27 01:47:46.986 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:47.050 | DEBUG    | xml_generator:115 | Elaborazione della cartella: FS-DAD
2025-03-27 01:47:47.052 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:47.066 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:47.080 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:47.084 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:47.085 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:47.088 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:47.101 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:47.101 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:47:47.127 | DEBUG    | api:479 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:47.128 | DEBUG    | xml_generator:115 | Elaborazione della cartella: logs
2025-03-27 01:47:47.128 | DEBUG    | xml_generator:142 | Ignorato file: myapp_data_processor_20250327_014728.log
2025-03-27 01:47:47.129 | DEBUG    | xml_generator:142 | Ignorato file: myapp_data_processor_20250327_014746.log
2025-03-27 01:47:47.146 | DEBUG    | api:479 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:47.147 | DEBUG    | xml_generator:129 | Ignorata cartella: _artifacts
2025-03-27 01:47:47.147 | DEBUG    | xml_generator:115 | Elaborazione della cartella: _logs
2025-03-27 01:47:47.147 | DEBUG    | xml_generator:115 | Elaborazione della cartella: _modules
2025-03-27 01:47:47.147 | DEBUG    | xml_generator:115 | Elaborazione della cartella: file_utils
2025-03-27 01:47:47.159 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:47.159 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:47.160 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:47:47.160 | DEBUG    | xml_generator:115 | Elaborazione della cartella: logging
2025-03-27 01:47:47.173 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:47.174 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:47:47.174 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:47.175 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:47:47.175 | INFO     | fs-dad:128 | XML generato: .\_artifacts\python-workspace.xml
