2025-03-27 01:47:28.710 | DEBUG    | config:67 | Configurazione caricata da config.json
2025-03-27 01:47:28.710 | DEBUG    | config:118 | Inizio calcolo percorso di output per: c:\sources\python-workspace
2025-03-27 01:47:28.710 | DEBUG    | config:127 | Nome della cartella target: python-workspace
2025-03-27 01:47:28.710 | DEBUG    | config:131 | Template di output: .\_artifacts\{target}.xml
2025-03-27 01:47:28.710 | DEBUG    | config:155 | Placeholders: {'target': 'python-workspace', 'timestamp': '20250327_014728'}
2025-03-27 01:47:28.710 | DEBUG    | config:160 | Percorso di output generato: .\_artifacts\python-workspace.xml
2025-03-27 01:47:28.711 | DEBUG    | xml_generator:115 | Elaborazione della cartella: python-workspace
2025-03-27 01:47:28.712 | DEBUG    | xml_generator:129 | Ignorata cartella: .git
2025-03-27 01:47:28.713 | DEBUG    | xml_generator:142 | Ignorato file: .gitignore
2025-03-27 01:47:28.713 | DEBUG    | xml_generator:129 | Ignorata cartella: .vscode
2025-03-27 01:47:28.716 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:28.788 | DEBUG    | xml_generator:115 | Elaborazione della cartella: FS-DAD
2025-03-27 01:47:28.790 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:28.805 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:28.821 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:28.824 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:28.825 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:28.827 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:28.840 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:28.841 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:47:28.868 | DEBUG    | api:479 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:28.869 | DEBUG    | xml_generator:115 | Elaborazione della cartella: logs
2025-03-27 01:47:28.869 | DEBUG    | xml_generator:142 | Ignorato file: myapp_data_processor_20250327_014728.log
2025-03-27 01:47:28.886 | DEBUG    | api:479 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:28.886 | DEBUG    | xml_generator:129 | Ignorata cartella: _artifacts
2025-03-27 01:47:28.886 | DEBUG    | xml_generator:115 | Elaborazione della cartella: _logs
2025-03-27 01:47:28.887 | DEBUG    | xml_generator:142 | Ignorato file: log_fs-dad.log
2025-03-27 01:47:28.887 | DEBUG    | xml_generator:115 | Elaborazione della cartella: _modules
2025-03-27 01:47:28.887 | DEBUG    | xml_generator:115 | Elaborazione della cartella: file_utils
2025-03-27 01:47:28.902 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:28.903 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:28.903 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:47:28.903 | DEBUG    | xml_generator:115 | Elaborazione della cartella: logging
2025-03-27 01:47:28.917 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:47:28.917 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:47:28.918 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:47:28.918 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:47:28.919 | INFO     | fs-dad:128 | XML generato: .\_artifacts\python-workspace.xml
